Id,ActivityDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,13/04/2016,10735,7.0,7.0,0.0,1.6,0.7,4.7,0.0,21,19,217,776,1797,1797,776,217,19,21,0.0,4.7,0.7,1.6,10735,13/04/2016,2,384,407
1503960366,15/04/2016,9762,6.3,6.3,0.0,2.1,1.3,2.8,0.0,29,34,209,726,1745,1745,726,209,34,29,0.0,2.8,1.3,2.1,9762,15/04/2016,1,412,442
1503960366,16/04/2016,12669,8.2,8.2,0.0,2.7,0.4,5.0,0.0,36,10,221,773,1863,1863,773,221,10,36,0.0,5.0,0.4,2.7,12669,16/04/2016,2,340,367
1503960366,17/04/2016,9705,6.5,6.5,0.0,3.2,0.8,2.5,0.0,38,20,164,539,1728,1728,539,164,20,38,0.0,2.5,0.8,3.2,9705,17/04/2016,1,700,712
1503960366,19/04/2016,15506,9.9,9.9,0.0,3.5,1.3,5.0,0.0,50,31,264,775,2035,2035,775,264,31,50,0.0,5.0,1.3,3.5,15506,19/04/2016,1,304,320
1503960366,20/04/2016,10544,6.7,6.7,0.0,2.0,0.5,4.2,0.0,28,12,205,818,1786,1786,818,205,12,28,0.0,4.2,0.5,2.0,10544,20/04/2016,1,360,377
1503960366,21/04/2016,9819,6.3,6.3,0.0,1.3,0.3,4.7,0.0,19,8,211,838,1775,1775,838,211,8,19,0.0,4.7,0.3,1.3,9819,21/04/2016,1,325,364
1503960366,23/04/2016,14371,9.0,9.0,0.0,2.8,0.9,5.4,0.0,41,21,262,732,1949,1949,732,262,21,41,0.0,5.4,0.9,2.8,14371,23/04/2016,1,361,384
1503960366,24/04/2016,10039,6.4,6.4,0.0,2.9,0.2,3.3,0.0,39,5,238,709,1788,1788,709,238,5,39,0.0,3.3,0.2,2.9,10039,24/04/2016,1,430,449
1503960366,25/04/2016,15355,9.8,9.8,0.0,5.3,0.6,3.9,0.0,73,14,216,814,2013,2013,814,216,14,73,0.0,3.9,0.6,5.3,15355,25/04/2016,1,277,323
1503960366,26/04/2016,13755,8.8,8.8,0.0,2.3,0.9,5.5,0.0,31,23,279,833,1970,1970,833,279,23,31,0.0,5.5,0.9,2.3,13755,26/04/2016,1,245,274
1503960366,28/04/2016,13154,8.5,8.5,0.0,3.5,1.2,3.8,0.0,48,28,189,782,1898,1898,782,189,28,48,0.0,3.8,1.2,3.5,13154,28/04/2016,1,366,393
1503960366,29/04/2016,11181,7.2,7.2,0.0,1.1,0.5,5.6,0.0,16,12,243,815,1837,1837,815,243,12,16,0.0,5.6,0.5,1.1,11181,29/04/2016,1,341,354
1503960366,30/04/2016,14673,9.3,9.3,0.0,3.6,1.4,4.3,0.0,52,34,217,712,1947,1947,712,217,34,52,0.0,4.3,1.4,3.6,14673,30/04/2016,1,404,425
1503960366,05/05/2016,14070,8.9,8.9,0.0,2.9,1.1,4.9,0.0,45,24,250,857,1959,1959,857,250,24,45,0.0,4.9,1.1,2.9,14070,05/05/2016,1,247,264
1644430081,29/04/2016,3176,2.3,2.3,0.0,0.0,0.0,2.3,0.0,0,0,120,1193,2498,2498,1193,120,0,0,0.0,2.3,0.0,0.0,3176,29/04/2016,1,119,127
1644430081,30/04/2016,18213,13.2,13.2,0.0,0.6,3.1,9.5,0.0,9,71,402,816,3846,3846,816,402,71,9,0.0,9.5,3.1,0.6,18213,30/04/2016,1,124,142
1844505072,15/04/2016,3844,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0,0,176,527,1725,1725,527,176,0,0,0.0,2.5,0.0,0.0,3844,15/04/2016,1,644,961
1844505072,30/04/2016,4014,2.7,2.7,0.0,0.0,0.0,2.7,0.0,0,0,184,218,1763,1763,218,184,0,0,0.0,2.7,0.0,0.0,4014,30/04/2016,1,722,961
1927972279,13/04/2016,356,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0,0,32,986,2151,2151,986,32,0,0,0.0,0.3,0.0,0.0,356,13/04/2016,1,398,422
1927972279,15/04/2016,980,0.7,0.7,0.0,0.0,0.0,0.7,0.0,0,0,51,941,2221,2221,941,51,0,0,0.0,0.7,0.0,0.0,980,15/04/2016,2,475,499
