Id,ActivityDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,Date,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId
1927972279,13/04/2016,356,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0,0,32,986,2151,2151,986,32,0,0,0.0,0.3,0.0,0.0,356,13/04/2016,133.5,294.32,,47.54,False,1460510000000.0
2873212765,21/04/2016,8859,6.0,6.0,0.0,0.1,0.4,5.5,0.01,2,10,371,1057,1970,1970,1057,371,10,2,0.01,5.5,0.4,0.1,8859,21/04/2016,56.7,125.0,,21.45,True,1461280000000.0
4319703577,17/04/2016,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1363,1464,1464,1363,3,0,0,0.0,0.0,0.0,0.0,29,17/04/2016,72.4,159.61,25.0,27.45,True,1460940000000.0
4558609924,18/04/2016,8940,5.9,5.9,0.0,1.0,0.9,4.0,0.0,14,15,331,1080,2116,2116,1080,331,15,14,0.0,4.0,0.9,1.0,8940,18/04/2016,69.7,153.66,,27.25,True,1461020000000.0
4558609924,25/04/2016,8095,5.3,5.3,0.0,0.6,0.3,4.5,0.0,18,10,340,993,2225,2225,993,340,10,18,0.0,4.5,0.3,0.6,8095,25/04/2016,70.3,154.98,,27.46,True,1461630000000.0
5577150313,17/04/2016,12231,9.1,9.1,0.0,6.0,0.8,2.3,0.0,200,37,159,525,4552,4552,525,159,37,200,0.0,2.3,0.8,6.0,12231,17/04/2016,90.7,199.96,,28.0,False,1460880000000.0
6962181067,13/04/2016,5652,3.7,3.7,0.0,0.6,1.2,2.0,0.0,8,24,142,548,1718,1718,548,142,24,8,0.0,2.0,1.2,0.6,5652,13/04/2016,62.1,136.91,,24.24,True,1460590000000.0
6962181067,14/04/2016,1551,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,86,862,1466,1466,862,86,0,0,0.0,1.0,0.0,0.0,1551,14/04/2016,61.7,136.03,,24.1,True,1460680000000.0
6962181067,15/04/2016,5563,3.7,3.7,0.0,0.0,0.0,3.7,0.0,0,0,217,837,1756,1756,837,217,0,0,0.0,3.7,0.0,0.0,5563,15/04/2016,61.5,135.58,,24.0,True,1460760000000.0
6962181067,16/04/2016,13217,8.7,8.7,0.0,3.7,0.2,4.9,0.0,50,3,280,741,2173,2173,741,280,3,50,0.0,4.9,0.2,3.7,13217,16/04/2016,62.0,136.69,,24.21,True,1460850000000.0
