Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1503960366,04/12/2016,728,328,13,25,0.0,6.1,0.6,1.9
1503960366,13/04/2016,776,217,19,21,0.0,4.7,0.7,1.6
1503960366,14/04/2016,1218,181,11,30,0.0,3.9,0.4,2.4
1503960366,15/04/2016,726,209,34,29,0.0,2.8,1.3,2.1
1503960366,16/04/2016,773,221,10,36,0.0,5.0,0.4,2.7
1503960366,17/04/2016,539,164,20,38,0.0,2.5,0.8,3.2
1503960366,18/04/2016,1149,233,16,42,0.0,4.7,0.6,3.3
1503960366,19/04/2016,775,264,31,50,0.0,5.0,1.3,3.5
1503960366,20/04/2016,818,205,12,28,0.0,4.2,0.5,2.0
1503960366,21/04/2016,838,211,8,19,0.0,4.7,0.3,1.3
1503960366,22/04/2016,1217,130,27,66,0.0,2.2,1.1,4.8
1503960366,23/04/2016,732,262,21,41,0.0,5.4,0.9,2.8
1503960366,24/04/2016,709,238,5,39,0.0,3.3,0.2,2.9
1503960366,25/04/2016,814,216,14,73,0.0,3.9,0.6,5.3
1503960366,26/04/2016,833,279,23,31,0.0,5.5,0.9,2.3
1503960366,27/04/2016,1108,243,11,78,0.0,5.4,0.4,6.4
1503960366,28/04/2016,782,189,28,48,0.0,3.8,1.2,3.5
1503960366,29/04/2016,815,243,12,16,0.0,5.6,0.5,1.1
1503960366,30/04/2016,712,217,34,52,0.0,4.3,1.4,3.6
1503960366,05/01/2016,730,246,35,33,0.0,2.9,1.6,2.3
1503960366,05/02/2016,798,277,15,41,0.0,5.9,0.6,3.2
1503960366,05/03/2016,816,254,24,50,0.0,4.9,1.0,3.7
1503960366,05/04/2016,1179,203,22,36,0.0,3.8,0.9,2.5
1503960366,05/05/2016,857,250,24,45,0.0,4.9,1.1,2.9
1503960366,05/06/2016,754,289,6,24,0.0,5.8,0.3,2.0
1503960366,05/07/2016,833,175,46,37,0.0,3.1,2.1,2.5
1503960366,05/08/2016,574,203,8,44,0.0,2.7,0.3,3.5
1503960366,05/09/2016,835,206,11,46,0.0,3.7,0.5,3.5
1503960366,05/10/2016,746,214,31,46,0.0,3.3,1.2,3.3
1503960366,05/11/2016,669,251,23,36,0.0,4.6,1.0,2.6
1503960366,05/12/2016,1440,0,0,0,0.0,0.0,0.0,0.0
1624580081,04/12/2016,1294,146,0,0,0.0,5.3,0.0,0.0
1624580081,13/04/2016,1292,148,0,0,0.0,4.6,0.0,0.0
1624580081,14/04/2016,1204,236,0,0,0.01,5.9,0.0,0.0
1624580081,15/04/2016,1344,96,0,0,0.0,1.0,0.0,0.0
1624580081,16/04/2016,1264,176,0,0,0.0,3.5,0.0,0.0
1624580081,17/04/2016,1276,127,22,15,0.01,1.5,1.5,1.0
1624580081,18/04/2016,1214,202,7,17,0.01,4.6,0.6,2.2
1624580081,19/04/2016,1299,141,0,0,0.0,1.9,0.0,0.0
1624580081,20/04/2016,1289,151,0,0,0.0,3.2,0.0,0.0
1624580081,21/04/2016,1254,186,0,0,0.02,4.1,0.0,0.0
1624580081,22/04/2016,1241,199,0,0,0.0,2.6,0.0,0.0
1624580081,23/04/2016,1213,227,0,0,0.01,5.5,0.0,0.0
1624580081,24/04/2016,1221,185,18,16,0.0,1.9,0.9,1.1
1624580081,25/04/2016,1238,202,0,0,0.02,4.2,0.0,0.0
1624580081,26/04/2016,1300,140,0,0,0.01,1.8,0.0,0.0
1624580081,27/04/2016,1233,154,36,17,0.0,2.5,1.9,1.1
1624580081,28/04/2016,1320,115,5,0,0.0,1.6,0.2,0.0
1624580081,29/04/2016,1290,150,0,0,0.0,1.5,0.0,0.0
1624580081,30/04/2016,1182,224,23,11,0.01,2.1,1.3,0.9
1624580081,05/01/2016,1020,171,63,186,0.02,1.9,4.2,21.9
1624580081,05/02/2016,1261,166,6,7,0.0,3.5,0.6,0.9
1624580081,05/03/2016,1344,96,0,0,0.02,1.3,0.0,0.0
1624580081,05/04/2016,1322,118,0,0,0.0,1.4,0.0,0.0
1624580081,05/05/2016,1323,117,0,0,0.02,1.6,0.0,0.0
1624580081,05/06/2016,1338,102,0,0,0.01,1.1,0.0,0.0
1624580081,05/07/2016,1258,182,0,0,0.0,1.4,0.0,0.0
1624580081,05/08/2016,1288,152,0,0,0.0,2.2,0.0,0.0
1624580081,05/09/2016,1349,91,0,0,0.0,1.1,0.0,0.0
1624580081,05/10/2016,1301,139,0,0,0.01,1.9,0.0,0.0
1624580081,05/11/2016,1328,112,0,0,0.0,2.0,0.0,0.0
1624580081,05/12/2016,890,107,0,0,0.01,1.9,0.0,0.0
1644430081,04/12/2016,1131,256,51,2,0.0,5.3,2.3,0.1
1644430081,13/04/2016,1259,135,16,30,0.0,2.6,0.9,2.3
1644430081,14/04/2016,1125,252,58,5,0.0,5.1,2.6,0.4
1644430081,15/04/2016,1263,170,4,3,0.0,3.5,0.2,0.2
1644430081,16/04/2016,1135,212,42,51,0.0,5.1,1.9,4.1
1644430081,17/04/2016,1212,186,13,29,0.0,3.5,0.6,2.3
1644430081,18/04/2016,1271,121,33,15,0.0,2.5,1.7,1.1
1644430081,19/04/2016,1099,278,58,5,0.0,5.3,2.5,0.4
1644430081,20/04/2016,1315,125,0,0,0.01,1.8,0.0,0.0
1644430081,21/04/2016,1402,38,0,0,0.01,0.9,0.0,0.0
1644430081,22/04/2016,1354,86,0,0,0.01,2.7,0.0,0.0
1644430081,23/04/2016,1265,160,15,0,0.0,4.3,0.6,0.0
1644430081,24/04/2016,1351,89,0,0,0.0,2.4,0.0,0.0
1644430081,25/04/2016,1337,94,1,8,0.0,2.0,0.1,0.6
1644430081,26/04/2016,1165,223,41,11,0.0,4.7,1.7,0.8
1644430081,27/04/2016,1322,118,0,0,0.0,2.2,0.0,0.0
1644430081,28/04/2016,1157,227,53,3,0.0,4.3,2.3,0.2
1644430081,29/04/2016,1193,120,0,0,0.0,2.3,0.0,0.0
1644430081,30/04/2016,816,402,71,9,0.0,9.5,3.1,0.6
1644430081,05/01/2016,908,146,24,3,0.0,3.2,1.0,0.2
1644430081,05/02/2016,682,148,7,1,0.0,2.3,0.3,0.1
1644430081,05/03/2016,1115,221,94,10,0.0,4.5,4.1,0.7
1644430081,05/04/2016,1388,52,0,0,0.02,1.7,0.0,0.0
1644430081,05/05/2016,1341,81,12,6,0.01,2.1,0.5,0.5
1644430081,05/06/2016,1054,369,6,11,0.02,6.0,0.3,0.8
1644430081,05/07/2016,1139,243,17,41,0.01,5.7,0.8,3.3
1644430081,05/08/2016,991,295,0,0,0.0,4.9,0.0,0.0
1644430081,05/09/2016,1099,303,6,32,0.01,2.1,0.3,2.4
1644430081,05/10/2016,1254,155,19,12,0.01,5.0,0.8,0.9
1644430081,05/11/2016,713,49,0,0,0.01,0.9,0.0,0.0
1844505072,04/12/2016,1101,339,0,0,0.0,4.4,0.0,0.0
1844505072,13/04/2016,1192,248,0,0,0.0,3.3,0.0,0.0
