Id,ActivityDay,StepTotal
1503960366,04/12/2016,13162
1503960366,13/04/2016,10735
1503960366,14/04/2016,10460
1503960366,15/04/2016,9762
1503960366,16/04/2016,12669
1503960366,17/04/2016,9705
1503960366,18/04/2016,13019
1503960366,19/04/2016,15506
1503960366,20/04/2016,10544
1503960366,21/04/2016,9819
1503960366,22/04/2016,12764
1503960366,23/04/2016,14371
1503960366,24/04/2016,10039
1503960366,25/04/2016,15355
1503960366,26/04/2016,13755
1503960366,27/04/2016,18134
1503960366,28/04/2016,13154
1503960366,29/04/2016,11181
1503960366,30/04/2016,14673
1503960366,05/01/2016,10602
1503960366,05/02/2016,14727
1503960366,05/03/2016,15103
1503960366,05/04/2016,11100
1503960366,05/05/2016,14070
1503960366,05/06/2016,12159
1503960366,05/07/2016,11992
1503960366,05/08/2016,10060
1503960366,05/09/2016,12022
1503960366,05/10/2016,12207
1503960366,05/11/2016,12770
1503960366,05/12/2016,0
1624580081,04/12/2016,8163
1624580081,13/04/2016,7007
1624580081,14/04/2016,9107
1624580081,15/04/2016,1510
1624580081,16/04/2016,5370
1624580081,17/04/2016,6175
1624580081,18/04/2016,10536
1624580081,19/04/2016,2916
1624580081,20/04/2016,4974
1624580081,21/04/2016,6349
1624580081,22/04/2016,4026
1624580081,23/04/2016,8538
1624580081,24/04/2016,6076
1624580081,25/04/2016,6497
1624580081,26/04/2016,2826
1624580081,27/04/2016,8367
1624580081,28/04/2016,2759
1624580081,29/04/2016,2390
1624580081,30/04/2016,6474
1624580081,05/01/2016,36019
1624580081,05/02/2016,7155
1624580081,05/03/2016,2100
1624580081,05/04/2016,2193
1624580081,05/05/2016,2470
1624580081,05/06/2016,1727
1624580081,05/07/2016,2104
1624580081,05/08/2016,3427
1624580081,05/09/2016,1732
1624580081,05/10/2016,2969
1624580081,05/11/2016,3134
1624580081,05/12/2016,2971
1644430081,04/12/2016,10694
1644430081,13/04/2016,8001
1644430081,14/04/2016,11037
1644430081,15/04/2016,5263
1644430081,16/04/2016,15300
1644430081,17/04/2016,8757
1644430081,18/04/2016,7132
1644430081,19/04/2016,11256
1644430081,20/04/2016,2436
1644430081,21/04/2016,1223
1644430081,22/04/2016,3673
1644430081,23/04/2016,6637
1644430081,24/04/2016,3321
1644430081,25/04/2016,3580
1644430081,26/04/2016,9919
1644430081,27/04/2016,3032
1644430081,28/04/2016,9405
1644430081,29/04/2016,3176
1644430081,30/04/2016,18213
1644430081,05/01/2016,6132
1644430081,05/02/2016,3758
1644430081,05/03/2016,12850
1644430081,05/04/2016,2309
1644430081,05/05/2016,4363
